autolabel_map.feature,autolabel_map.tag,autolabel_map.cnt,autolabel_map.month,autolabel_map.day
ft_dev_battery_full_90d_weekday_allday_hours,blank,9716892,201910,20191016
ft_dev_battery_full_90d_weekend_allday_hours,0,8398691,201910,20191016
ft_dev_battery_full_90d_weekend_allday_hours,1,54140,201910,20191016
ft_dev_battery_full_90d_weekend_allday_hours,2,5312,201910,20191016
ft_dev_battery_full_90d_weekend_allday_hours,3,1878,201910,20191016
ft_dev_battery_full_90d_weekend_allday_hours,4,1265,201910,20191016
ft_dev_battery_full_90d_weekend_allday_hours,blank,9716892,201910,20191016
ft_dev_battery_charge_90d_whole_allday_hours,0,8255782,201910,20191016
ft_dev_battery_charge_90d_whole_allday_hours,1,182838,201910,20191016
ft_dev_battery_charge_90d_whole_allday_hours,2,19781,201910,20191016
ft_dev_battery_charge_90d_whole_allday_hours,3,2062,201910,20191016
ft_dev_battery_charge_90d_whole_allday_hours,4,823,201910,20191016
ft_dev_battery_charge_90d_whole_allday_hours,blank,9716892,201910,20191016
ft_dev_battery_charge_90d_weekday_allday_hours,0,8256467,201910,20191016
ft_dev_battery_charge_90d_weekday_allday_hours,1,181995,201910,20191016
ft_dev_battery_charge_90d_weekday_allday_hours,2,19909,201910,20191016
ft_dev_battery_charge_90d_weekday_allday_hours,3,2083,201910,20191016
ft_dev_battery_charge_90d_weekday_allday_hours,4,832,201910,20191016
ft_dev_battery_charge_90d_weekday_allday_hours,blank,9716892,201910,20191016
ft_dev_battery_charge_90d_weekend_allday_hours,0,8246033,201910,20191016
ft_dev_battery_charge_90d_weekend_allday_hours,1,190366,201910,20191016
ft_dev_battery_charge_90d_weekend_allday_hours,2,21724,201910,20191016
ft_dev_battery_charge_90d_weekend_allday_hours,3,2319,201910,20191016
ft_dev_battery_charge_90d_weekend_allday_hours,4,844,201910,20191016
ft_dev_battery_charge_90d_weekend_allday_hours,blank,9716892,201910,20191016
ft_dev_battery_use_90d_whole_allday_hours,0,7308302,201910,20191016
ft_dev_battery_use_90d_whole_allday_hours,1,666951,201910,20191016
ft_dev_battery_use_90d_whole_allday_hours,2,311349,201910,20191016
ft_dev_battery_use_90d_whole_allday_hours,3,146951,201910,20191016
