feature|tag|min_value|max_value
ft_app_ins_history_imei_alter_cnt|1|0.2|0.4
ft_app_ins_history_imei_alter_cnt|2|0.4|0.6
ft_app_ins_history_imei_alter_cnt|3|0.6|0.8
ft_app_ins_history_imei_alter_cnt|4|0.8|inf
ft_app_ins_current_malicious_cnt|0|-inf|3.2
ft_app_ins_current_malicious_cnt|1|3.2|6.4
ft_app_ins_current_malicious_cnt|2|6.4|9.6
ft_app_ins_current_malicious_cnt|3|9.6|12.8
ft_app_ins_current_malicious_cnt|4|12.8|inf
ft_app_ins_history_malicious_cnt|0|-inf|3.2
ft_app_ins_history_malicious_cnt|1|3.2|6.4
ft_app_ins_history_malicious_cnt|2|6.4|9.6
ft_app_ins_history_malicious_cnt|3|9.6|12.8
ft_app_ins_history_malicious_cnt|4|12.8|inf
ft_dev_battery_use_30d_whole_nighttime_hours|0|-inf|30.0
ft_dev_battery_use_30d_whole_nighttime_hours|1|30.0|60.0
ft_dev_battery_use_30d_whole_nighttime_hours|2|60.0|90.0
ft_dev_battery_use_30d_whole_nighttime_hours|3|90.0|120.0
ft_dev_battery_use_30d_whole_nighttime_hours|4|120.0|inf
ft_dev_battery_use_30d_weekday_allday_hours|0|-inf|105.6
ft_dev_battery_use_30d_weekday_allday_hours|1|105.6|211.2
ft_dev_battery_use_30d_weekday_allday_hours|2|211.2|316.8
ft_dev_battery_use_30d_weekday_allday_hours|3|316.8|422.4
ft_dev_battery_use_30d_weekday_allday_hours|4|422.4|inf
ft_dev_battery_use_30d_weekday_worktime_hours|0|-inf|44.0
ft_dev_battery_use_30d_weekday_worktime_hours|1|44.0|88.0
ft_dev_battery_use_30d_weekday_worktime_hours|2|88.0|132.0
ft_dev_battery_use_30d_weekday_worktime_hours|3|132.0|176.0
ft_dev_battery_use_30d_weekday_worktime_hours|4|176.0|inf
ft_dev_battery_use_30d_weekday_closetime_hours|0|-inf|8.8
ft_dev_battery_use_30d_weekday_closetime_hours|1|8.8|17.6
ft_dev_battery_use_30d_weekday_closetime_hours|2|17.6|26.4
ft_dev_battery_use_30d_weekday_closetime_hours|3|26.4|35.2
ft_dev_battery_use_30d_weekday_closetime_hours|4|35.2|inf
ft_dev_battery_use_30d_weekday_nighttime_hours|0|-inf|22.0
ft_dev_battery_use_30d_weekday_nighttime_hours|1|22.0|44.0
ft_dev_battery_use_30d_weekday_nighttime_hours|2|44.0|66.0
ft_dev_battery_use_30d_weekday_nighttime_hours|3|66.0|88.0
ft_dev_battery_use_30d_weekday_nighttime_hours|4|88.0|inf
ft_dev_battery_use_30d_weekend_allday_hours|0|-inf|38.4
ft_dev_battery_use_30d_weekend_allday_hours|1|38.4|76.8
ft_dev_battery_use_30d_weekend_allday_hours|2|76.8|115.2
ft_dev_battery_use_30d_weekend_allday_hours|3|115.2|153.6
