feature|if_continuous|tag|min_value|max_value|chinese_name
ft_app_act_30d_debit_credit_days_cv|1|2|0.5657|0.8485|近三月30天借贷类APP活跃天数的变异系数
ft_app_act_30d_debit_credit_days_cv|1|3|0.8485|1.1314|近三月30天借贷类APP活跃天数的变异系数
ft_app_act_30d_debit_credit_days_cv|1|4|1.1314|inf|近三月30天借贷类APP活跃天数的变异系数
ft_app_act_30d_micro_loan_cnt_cv|1|0|-inf|0.2828|近三月30天小贷类APP活跃个数的变异系数
ft_app_act_30d_micro_loan_cnt_cv|1|1|0.2828|0.5657|近三月30天小贷类APP活跃个数的变异系数
ft_app_act_30d_micro_loan_cnt_cv|1|2|0.5657|0.8485|近三月30天小贷类APP活跃个数的变异系数
ft_app_act_30d_micro_loan_cnt_cv|1|3|0.8485|1.1314|近三月30天小贷类APP活跃个数的变异系数
ft_app_act_30d_micro_loan_cnt_cv|1|4|1.1314|inf|近三月30天小贷类APP活跃个数的变异系数
ft_app_act_30d_micro_loan_times_cv|1|0|-inf|0.2828|近三月30天小贷类APP活跃次数的变异系数
ft_app_act_30d_micro_loan_times_cv|1|1|0.2828|0.5657|近三月30天小贷类APP活跃次数的变异系数
ft_app_act_30d_micro_loan_times_cv|1|2|0.5657|0.8485|近三月30天小贷类APP活跃次数的变异系数
ft_app_act_30d_micro_loan_times_cv|1|3|0.8485|1.1314|近三月30天小贷类APP活跃次数的变异系数
ft_app_act_30d_micro_loan_times_cv|1|4|1.1314|inf|近三月30天小贷类APP活跃次数的变异系数
ft_app_act_30d_micro_loan_days_cv|1|0|-inf|0.2828|近三月30天小贷类APP活跃天数的变异系数
ft_app_act_30d_micro_loan_days_cv|1|1|0.2828|0.5657|近三月30天小贷类APP活跃天数的变异系数
ft_app_act_30d_micro_loan_days_cv|1|2|0.5657|0.8485|近三月30天小贷类APP活跃天数的变异系数
ft_app_act_30d_micro_loan_days_cv|1|3|0.8485|1.1314|近三月30天小贷类APP活跃天数的变异系数
ft_app_act_30d_micro_loan_days_cv|1|4|1.1314|inf|近三月30天小贷类APP活跃天数的变异系数
ft_app_ins_current_risk_cnt|1|0|-inf|3.6|风险类APP当前安装个数
ft_app_ins_current_risk_cnt|1|1|3.6|7.2|风险类APP当前安装个数
ft_app_ins_current_risk_cnt|1|2|7.2|10.8|风险类APP当前安装个数
ft_app_ins_current_risk_cnt|1|3|10.8|14.4|风险类APP当前安装个数
ft_app_ins_current_risk_cnt|1|4|14.4|inf|风险类APP当前安装个数
ft_app_ins_history_risk_cnt|1|0|-inf|4.0|风险类APP历史安装个数
ft_app_ins_history_risk_cnt|1|1|4.0|8.0|风险类APP历史安装个数
ft_app_ins_history_risk_cnt|1|2|8.0|12.0|风险类APP历史安装个数
ft_app_ins_history_risk_cnt|1|3|12.0|16.0|风险类APP历史安装个数
ft_app_ins_history_risk_cnt|1|4|16.0|inf|风险类APP历史安装个数
ft_app_ins_current_cheating_cnt|1|0|-inf|2.2|撸羊毛类APP当前安装个数
ft_app_ins_current_cheating_cnt|1|1|2.2|4.4|撸羊毛类APP当前安装个数
ft_app_ins_current_cheating_cnt|1|2|4.4|6.6|撸羊毛类APP当前安装个数
ft_app_ins_current_cheating_cnt|1|3|6.6|8.8|撸羊毛类APP当前安装个数
ft_app_ins_current_cheating_cnt|1|4|8.8|inf|撸羊毛类APP当前安装个数
ft_app_ins_history_cheating_cnt|1|0|-inf|4.4|撸羊毛类APP历史安装个数
ft_app_ins_history_cheating_cnt|1|1|4.4|8.8|撸羊毛类APP历史安装个数
ft_app_ins_history_cheating_cnt|1|2|8.8|13.2|撸羊毛类APP历史安装个数
ft_app_ins_history_cheating_cnt|1|3|13.2|17.6|撸羊毛类APP历史安装个数
ft_app_ins_history_cheating_cnt|1|4|17.6|inf|撸羊毛类APP历史安装个数
ft_app_ins_current_imei_alter_cnt|1|0|-inf|0.2|IMEI修改类APP当前安装个数
ft_app_ins_current_imei_alter_cnt|1|1|0.2|0.4|IMEI修改类APP当前安装个数
ft_app_ins_current_imei_alter_cnt|1|2|0.4|0.6|IMEI修改类APP当前安装个数
ft_app_ins_current_imei_alter_cnt|1|3|0.6|0.8|IMEI修改类APP当前安装个数
ft_app_ins_current_imei_alter_cnt|1|4|0.8|inf|IMEI修改类APP当前安装个数
ft_app_ins_history_imei_alter_cnt|1|0|-inf|0.2|IMEI修改类APP历史安装个数
ft_app_ins_history_imei_alter_cnt|1|1|0.2|0.4|IMEI修改类APP历史安装个数
ft_app_ins_history_imei_alter_cnt|1|2|0.4|0.6|IMEI修改类APP历史安装个数
ft_app_ins_history_imei_alter_cnt|1|3|0.6|0.8|IMEI修改类APP历史安装个数
ft_app_ins_history_imei_alter_cnt|1|4|0.8|inf|IMEI修改类APP历史安装个数
ft_app_ins_current_malicious_cnt|1|0|-inf|3.2|恶意呼叫类APP当前安装个数
ft_app_ins_current_malicious_cnt|1|1|3.2|6.4|恶意呼叫类APP当前安装个数
ft_app_ins_current_malicious_cnt|1|2|6.4|9.6|恶意呼叫类APP当前安装个数
ft_app_ins_current_malicious_cnt|1|3|9.6|12.8|恶意呼叫类APP当前安装个数
ft_app_ins_current_malicious_cnt|1|4|12.8|inf|恶意呼叫类APP当前安装个数
ft_app_ins_history_malicious_cnt|1|0|-inf|3.2|恶意呼叫类APP历史安装个数
